date,decimal,to go
531099,4038,372700
531098,4040,372699
691862,4048,372698
931257,4060,372697
662019,4072,372696
662018,4073,372695
6201856,4074,372694
6201855,4075,372693
581007,4079,372692
861179,4097,372691
611791,4098,372690
791045,4101,372689
461137,4115,372688
461136,4116,372687
611366,4116,372686
611365,4117,372685
441668,4132,372684
771856,4149,372683
771855,4150,372682
541267,4164,372681
541266,4165,372680
431859,4183,372679
431858,4184,372678
751457,4193,372677
751456,4194,372676
661407,4198,372675
661406,4199,372674
591344,4217,372673
171275,4224,372672
171274,4225,372671
561314,4249,372670
131407,4251,372669
6131407,4251,372668
711270,4259,372667
571638,4346,372666
571637,4347,372665
542021,4355,372664
211496,4359,372663
211495,4360,372662
761581,4366,372661
581400,4370,372660
941302,4385,372659
471551,4393,372658
471550,4395,372657
761255,4418,372656
551766,4422,372655
551765,4423,372654
751358,4429,372653
751357,4430,372652
751783,4434,372651
751782,4436,372650
791745,4448,372649
961489,4459,372648
471329,4474,372647
621073,4479,372646
751896,4489,372645
751895,4490,372644
961459,4498,372643
961458,4499,372642
971311,4510,372641
131118,4512,372640
7131118,4512,372639
131117,4513,372638
7131117,4513,372637
1311179,4513,372636
311179,4513,372635
111790,4515,372634
3111790,4515,372633
691514,4540,372632
151403,4542,372631
9151403,4542,372630
151402,4543,372629
9151402,4543,372628
941215,4563,372627
941214,4564,372626
121472,4565,372625
4121472,4565,372624
221318,4570,372623
7221318,4570,372622
221317,4571,372621
7221317,4571,372620
131795,4572,372619
2131795,4572,372618
131794,4573,372617
2131794,4573,372616
241425,4587,372615
2241425,4587,372614
321572,4601,372613
321571,4602,372612
571853,4604,372611
881376,4616,372610
881375,4617,372609
321752,4630,372608
321751,4631,372607
751829,4634,372606
371722,4646,372605
371721,4647,372604
721592,4649,372603
721591,4650,372602
591608,4652,372601
591607,4653,372600
771669,4657,372599
721464,4715,372598
721463,4716,372597
571209,4732,372596
271664,4746,372595
3271664,4746,372594
641627,4750,372593
721040,4779,372592
721186,4786,372591
211861,4787,372590
7211861,4787,372589
211860,4788,372588
7211860,4788,372587
661712,4806,372586
171196,4808,372585
6171196,4808,372584
661711,4808,372583
711964,4809,372582
711963,4810,372581
921338,4817,372580
921337,4818,372579
751149,4825,372578
511496,4825,372577
511495,4827,372576
631863,4841,372575
631862,4842,372574
751591,4870,372573
751590,4871,372572
351362,4903,372571
771589,4913,372570
891505,4917,372569
891504,4919,372568
541934,4960,372567
341447,4964,372566
441843,4973,372565
441842,4974,372564
631299,4979,372563
631298,4980,372562
741326,4996,372561
721569,5005,372560
951624,5009,372559
951623,5011,372558
631598,5027,372557
981932,5031,372556
981931,5033,372555
931952,5034,372554
931951,5035,372553
951674,5037,372552
951673,5038,372551
381297,5044,372550
741677,5049,372549
141631,5112,372548
631497,5115,372547
631496,5116,372546
221689,5156,372545
8221689,5156,372544
221688,5158,372543
8221688,5158,372542
471651,5183,372541
651229,5186,372540
651228,5187,372539
881618,5201,372538
881617,5202,372537
161756,5203,372536
8161756,5203,372535
161755,5204,372534
8161755,5204,372533
281513,5224,372532
4281513,5224,372531
281512,5225,372530
4281512,5225,372529
151263,5226,372528
8151263,5226,372527
151262,5227,372526
8151262,5227,372525
431465,5238,372524
531978,5243,372523
531977,5244,372522
741603,5250,372521
541876,5263,372520
441952,5277,372519
521541,5281,372518
541342,5284,372517
541341,5285,372516
341899,5287,372515
831625,5306,372514
831624,5308,372513
341913,5314,372512
191318,5316,372511
4191318,5316,372510
131815,5318,372509
9131815,5318,372508
131814,5319,372507
9131814,5319,372506
181481,5320,372505
3181481,5320,372504
181480,5321,372503
3181480,5321,372502
771039,5330,372501
771038,5331,372500
431772,5342,372499
921202,5365,372498
921201,5366,372497
212019,5366,372496
9212019,5366,372495
1201905,5368,372494
281613,5399,372493
8281613,5399,372492
161332,5401,372491
8161332,5401,372490
231666,5406,372489
3231666,5406,372488
861933,5416,372487
861932,5417,372486
471059,5463,372485
471058,5464,372484
451718,5490,372483
171806,5492,372482
5171806,5492,372481
561275,5509,372480
531813,5514,372479
181341,5516,372478
3181341,5516,372477
181340,5517,372476
3181340,5517,372475
531148,5556,372474
531147,5557,372473
311477,5557,372472
5311477,5557,372471
771199,5561,372470
711993,5562,372469
711992,5563,372468
381335,5571,372467
381334,5572,372466
391308,5595,372465
391307,5596,372464
771099,5600,372463
771098,5601,372462
591337,5611,372461
641443,5618,372460
641442,5619,372459
872019,5649,372458
7201928,5651,372457
7201927,5652,372456
771528,5656,372455
731768,5663,372454
731767,5664,372453
721344,5677,372452
931138,5702,372451
311384,5703,372450
311383,5704,372449
931631,5712,372448
631284,5715,372447
251219,5723,372446
4251219,5723,372445
121926,5725,372444
5121926,5725,372443
121925,5726,372442
5121925,5726,372441
651798,5731,372440
941135,5739,372439
411353,5740,372438
411352,5741,372437
131470,5749,372436
781644,5758,372435
781643,5759,372434
851853,5766,372433
851852,5767,372432
452012,5778,372431
452011,5779,372430
5201166,5780,372429
5201165,5781,372428
341966,5789,372427
341965,5790,372426
621349,5795,372425
